idx,foto,ac_llm,band,confidence,rank,catatan
1,kelas 1 dengan diastema 1,5,5-7,sedang,12,"sentral prominen, diastema median, lateral kecil & set-back, spacing general; gigi bawah hampir tertutup"
2,kelas 1 dengan diastema 2,6,5-7,sedang,13,"diastema median jelas + spacing atas + berjejal anterior bawah; gigi tampak konikal/kecil"
3,kelas 1 normal 1,2,1-4,tinggi,2,"anterior atas sejajar rapi, bentuk lengkung baik, iregularitas minor di bawah"
4,kelas 1 normal 2,2,1-4,tinggi,1,"paling rapi dari set ini; atas & bawah sejajar, proporsi baik"
5,kelas 1 normal 3,3,1-4,tinggi,3,"atas cukup sejajar, sentral sedikit prominen, bawah agak iregular"
6,kelas 1 with crossbite and crowding 1,6,5-7,tinggi,14,"berjejal jelas, lateral atas rotasi & tergeser, anterior bawah iregular, ada crossbite"
7,kelas 1 with crowding lower anterior 1,3,1-4,sedang,4,"atas relatif rapi; berjejal terbatas di anterior bawah"
8,kelas 1 with crowding lower anterior 2,4,1-4,sedang,9,"atas sedikit renggang, anterior bawah berjejal & rotasi"
9,"kelas 1 with crowding, midline shifting, crossbite incisor lateral 1",6,5-7,sedang,15,"lateral atas tergeser ke palatal (ruang gelap), asimetri jelas, kaninus prominen"
10,"kelas 1 with crowding, midline shifting, crossbite incisor lateral 2",8,8-10,tinggi,17,"lateral crossbite/palatoversi berat, rotasi nyata, gigi keluar lengkung, sangat asimetris"
11,kelas 1 with deep bite and protrusion 1,4,1-4,sedang,8,"sentral besar & protrusif, bawah tertutup (deep bite), lateral sedikit rotasi"
12,kelas 1 with deep bite and protrusion 2,4,1-4,rendah,5,"anterior atas cukup sejajar; penilaian terganggu cast warna oranye & bawah tak terlihat"
13,kelas 1 with deep bite and protrusion 3,4,1-4,sedang,6,"berjejal ringan atas, sentral prominen, lateral sedikit rotasi"
14,kelas 1 with multiple diastema and open bite anterior 1,7,5-7,tinggi,16,"multiple diastema + open bite anterior jelas; celah vertikal & horizontal keduanya menonjol"
15,kelas 1 with upper anterior croeding and midline shifting 1,8,8-10,tinggi,18,"sentral sangat besar & dominan, lateral nyaris tertutup, asimetri & pergeseran midline berat"
16,kelas 1 with upper anterior croeding and midline shifting 2,5,5-7,sedang,11,"anterior atas berjejal dengan rotasi & tumpang tindih, midline bergeser, bawah iregular"
17,kelas 1 with upper anterior croeding and midline shifting 3,5,5-7,sedang,10,"berjejal & rotasi anterior atas, midline bergeser, bawah berjejal"
18,kelas 3,4,1-4,rendah,7,"gigi relatif sejajar; hubungan kelas III / edge-to-edge sulit dinilai dari frontal saja"
